molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4463337,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)CC(C)C)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)O)C(C)C,40000.0
CHEMBL4436411,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)CC(C)C)C(C)C)CC(=O)NCCCC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)O)C(C)C)NC1=O,25000.0
CHEMBL4514780,CC(C)(C)S(=O)(=O)c1cc2c(Nc3ccc4scnc4c3)ncnc2cc1OCCO,10000.0
CHEMBL4568204,CCOC(=O)C1=CCCCC1S(=O)(=O)N(C(=O)OCc1ccc([N+](=O)[O-])cc1)c1ccc(F)cc1Cl,2701.0
CHEMBL4538376,CCOC(=O)C1=CCCCC1S(=O)(=O)N(Cc1ccc([N+](=O)[O-])cc1)c1ccc(F)cc1Cl,1785.0
CHEMBL4450337,C#CCN(c1ccc(F)cc1Cl)S(=O)(=O)C1CCCC=C1C(=O)OCC,334.0
CHEMBL4436615,C#CCOC(=O)N(c1ccc(F)cc1Cl)S(=O)(=O)C1CCCC=C1C(=O)OCC,3897.0
CHEMBL4646719,Cn1cc(-c2ccc3nc(N4CCN(C5CCC5)CC4)ncc3c2)ccc1=O,1400.0
CHEMBL4637821,Cc1cc(-c2ccc(=O)n(C)c2)cc2cnc(N3CCN(C(C)C)CC3)nc12,5900.0
CHEMBL4639145,Cc1cc(-c2ccc(=O)n(C)c2)cc2cn(C3CCNCC3)nc12,1600.0
CHEMBL4641633,O=c1ccc(-c2cc(C(F)(F)F)c3nn([C@H]4CCNC[C@@H]4F)cc3c2)c2n1CCC2,6500.0
CHEMBL4643502,Cc1cc(-c2cc(C)c3nn(C4CCNCC4)cc3c2)cn(C)c1=O,250.0
CHEMBL4642538,Cc1cc(=O)n(C)cc1-c1cc(C)c2nn(C3CCNCC3)cc2c1,4200.0
CHEMBL4641604,Cc1cc(-c2ccc(=O)n(C)c2C)cc2cn(C3CCNCC3)nc12,10000.0
CHEMBL4636498,CNCCN1CCC(c2ccc3[nH]c(-c4ccc(OC)c(OC)c4)c(C(C)C)c3c2)CC1,15100.0
CHEMBL4647818,CNCCN1CCC(c2ccc3[nH]c(-c4ccc(OC)c(OC)c4)c(C)c3c2)CC1,14970.0
CHEMBL465158,C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CC/C=C(\C)CC[C@@H]12,1400.0
CHEMBL4795714,CCCCCn1cc(-c2ccccc2OCc2ccccc2)nc1N.Cl,2400.0
CHEMBL4874833,CC(C)[C@H]1CCC2C(=O)CC(=O)C=C21,2530.0
CHEMBL4862882,O=C1C=C2C(CC[C@@H]2Cl)C(=O)C1,2710.0
CHEMBL4862756,CC(C)[C@H]1CCC2C(=O)CCC(=O)C=C21,2820.0
CHEMBL4857883,CCOC(=O)[C@H]1CCCC2C(=O)CC(=O)C=C21,1540.0
CHEMBL4863840,CCCC1CCC([C@@H]2CCC3=CC(=O)CC(=O)C3C2)CC1,730.0
CHEMBL4875156,O=C1C=C2CC[C@@H](NC(=O)OCc3ccccc3)CC2C(=O)C1,560.0
CHEMBL4858342,O=C1C=C2CCCCC2C(=O)CC1,1850.0
CHEMBL4849737,C[C@H]1CCC2C(=O)CCC(=O)C=C2C1,2660.0
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1040.0
CHEMBL5091113,Cc1cc(-c2cc3[nH]nc(N[C@@H]4CCNC[C@H]4F)c3cc2C2CC2)cc(C)n1,8000.0
CHEMBL5080083,COc1cc2cc[nH]c2cc1-c1ccncc1,10000.0
CHEMBL5207441,O=[N+]([O-])/C=C/c1cccc(Oc2ccccc2)c1,4300.0
CHEMBL5207291,C/C(=C\[N+](=O)[O-])c1cccc(Oc2ccccc2)c1,6300.0
CHEMBL5171851,O=[N+]([O-])/C=C/c1ccccc1Oc1ccccc1,2500.0
CHEMBL5170704,O=[N+]([O-])/C=C/c1ccc(Oc2ccccc2)cc1,6500.0
CHEMBL5209033,O=[N+]([O-])/C=C/c1cccc(OCc2ccc3ccccc3c2)c1,4400.0
CHEMBL4095869,O=[N+]([O-])/C=C/c1cccc(OCc2ccccc2)c1,3500.0
CHEMBL5196367,COc1ccc(COc2cccc(/C=C/[N+](=O)[O-])c2)cc1,5600.0
CHEMBL4068546,O=[N+]([O-])/C=C/c1cccc(OCc2ccc(F)cc2)c1,4200.0
CHEMBL4063297,O=[N+]([O-])/C=C/c1cccc(OCc2ccc(Cl)cc2)c1,4800.0
CHEMBL5193268,O=[N+]([O-])/C=C/c1cccc(OCC2CC2)c1,2500.0
CHEMBL5188410,O=[N+]([O-])/C=C/c1cccc(OCC2CCCCC2)c1,5900.0
CHEMBL5190591,CCCCOc1cccc(/C=C/[N+](=O)[O-])c1,5800.0
CHEMBL5206205,O=[N+]([O-])/C=C/c1cccc(OCc2ccncc2)c1,3900.0
CHEMBL5188622,O=[N+]([O-])/C=C/c1cccc(OCc2ccccn2)c1,1400.0
CHEMBL5169468,CCOC(=O)c1ccc(COc2cccc(/C=C/[N+](=O)[O-])c2)nc1,9200.0
CHEMBL5188785,CCCOC(=O)c1ccc(COc2cccc(/C=C/[N+](=O)[O-])c2)nc1,5900.0
CHEMBL5202240,CCCCOC(=O)c1ccc(COc2cccc(/C=C/[N+](=O)[O-])c2)nc1,3700.0
CHEMBL5179649,O=[N+]([O-])/C=C/c1cccc(Oc2ccccn2)c1,1000.0
CHEMBL5185625,O=[N+]([O-])/C=C/c1cccc(Oc2ncccn2)c1,6200.0
CHEMBL5188850,O=[N+]([O-])/C=C/c1cccc(Oc2nccs2)c1,2400.0
CHEMBL5179162,O=C(Nc1ccccn1)c1cccc(/C=C/[N+](=O)[O-])c1,3600.0
CHEMBL5202822,O=[N+]([O-])/C=C/c1cccc(Nc2ccccn2)c1,460.0
CHEMBL5204073,O=[N+]([O-])/C=C/c1cccc(Nc2cccnc2)c1,3100.0
CHEMBL5179379,O=[N+]([O-])/C=C/c1cccc(Nc2ncccn2)c1,2800.0
CHEMBL5186879,CN(C)c1ccc(/C=C/[N+](=O)[O-])cc1Nc1ccccn1,3700.0
CHEMBL5186900,O=[N+]([O-])/C=C/c1cccc(-c2ccccn2)c1,280.0
CHEMBL5191555,CCCCCCCCCCCCCC(=O)N[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@H](CO)[C@@H](OC(=O)CCC(=O)O)[C@@H]1OC(=O)CCCCCCCCCCCCC,5910.0
CHEMBL5198865,CCCCC/C=C\C/C=C\CCCCCCC(=O)N[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@H](CO)[C@@H](OC(=O)CCC(=O)O)[C@@H]1OC(=O)CCCCCC/C=C\C/C=C\CCCCC,4350.0
CHEMBL5193111,CCCCCCCC/C=C\CCCCCCC(=O)N[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@H](CO)[C@@H](OC(=O)CCC(=O)O)[C@@H]1OC(=O)CCCCCC/C=C\CCCCCCCC,3500.0
CHEMBL5184274,CCCCC/C=C\C/C=C\CCCCCCC(=O)N[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@H](CO)[C@@H](OC(=O)CCC(=O)O)[C@@H]1OC(=O)CCCCCCCCCCCCC,6610.0
CHEMBL5183013,CCCCCCCCC/C=C\CCCCCCC(=O)N[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@H](CO)[C@@H](OC(=O)CCC(=O)O)[C@@H]1OC(=O)CCCCCCCCCCCCC,2700.0
CHEMBL5193233,CC(=O)N[C@H]1[C@H](OC2CCCCC2)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,150.0
CHEMBL5175448,COc1ccc(C(=O)c2cnc(/N=C(\N)Nc3ccc(F)cc3)nc2)c(O)c1,18000.0
CHEMBL5179453,COc1ccc(N/C(N)=N/c2ncc(C(=O)c3ccccc3O)cn2)cc1,27000.0
CHEMBL5208041,N/C(=N\c1ncc(C(=O)c2cc(Cl)ccc2O)cn1)Nc1ccc(F)cc1,40000.0
CHEMBL5174883,COC(=O)C1=CO[C@@H](O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,25.4
CHEMBL5201891,Cc1cc(-c2[nH]c3ccc(C4CCNCC4)cc3c2C(C)C)cc(C)n1,10000.0
